time(millisecond),datetime(utc),latitude,longitude
0,2022-05-13 16:28:11,-34.4376624556441,-59.0521548140894
100,2022-05-13 16:28:11,-34.4376624549303,-59.0521548142398
200,2022-05-13 16:28:12,-34.4376624532005,-59.0521548144991
300,2022-05-13 16:28:12,-34.4376624557136,-59.0521548142255
400,2022-05-13 16:28:12,-34.4376624490296,-59.0521548136571
500,2022-05-13 16:28:12,-34.4376624531227,-59.052154814254
600,2022-05-13 16:28:12,-34.4376624571454,-59.052154815351
700,2022-05-13 16:28:12,-34.4376624611003,-59.0521548142845
800,2022-05-13 16:28:12,-34.4376624686137,-59.0521548135028
900,2022-05-13 16:28:12,-34.437662475353,-59.0521548211405
1000,2022-05-13 16:28:12,-34.4376624827235,-59.0521548284722
1100,2022-05-13 16:28:13,-34.4376624781972,-59.0521548367044
1200,2022-05-13 16:28:13,-34.4376624829281,-59.0521548415796
1300,2022-05-13 16:28:13,-34.4376624911713,-59.0521548412794
1400,2022-05-13 16:28:13,-34.437662500368,-59.0521548360382
1500,2022-05-13 16:28:13,-34.4376625038855,-59.0521548397375
1600,2022-05-13 16:28:13,-34.437662504804,-59.052154844812
1700,2022-05-13 16:28:13,-34.4376625048598,-59.0521548496114
1800,2022-05-13 16:28:13,-34.4376624848067,-59.052154855067
1900,2022-05-13 16:28:13,-34.4376624872113,-59.052154860559
2000,2022-05-13 16:28:13,-34.4376624890808,-59.0521548665235
2100,2022-05-13 16:28:14,-34.4376624818236,-59.0521548671123
2200,2022-05-13 16:28:14,-34.4376624880575,-59.0521548698367
2300,2022-05-13 16:28:14,-34.4376624916427,-59.0521548708918
2400,2022-05-13 16:28:14,-34.437662494988,-59.052154873304
2500,2022-05-13 16:28:14,-34.4376624504668,-59.0521548528311
2600,2022-05-13 16:28:14,-34.4376624330786,-59.0521548505181
2700,2022-05-13 16:28:14,-34.4376624295218,-59.0521548540798
2800,2022-05-13 16:28:14,-34.4376624165724,-59.0521548546751
2900,2022-05-13 16:28:14,-34.4376624185584,-59.0521548559038
3000,2022-05-13 16:28:14,-34.4376624222896,-59.0521548588745
3100,2022-05-13 16:28:15,-34.437662430375,-59.0521548654113
3200,2022-05-13 16:28:15,-34.4376624335702,-59.0521548683684
3300,2022-05-13 16:28:15,-34.4376624366423,-59.0521548741831
3400,2022-05-13 16:28:15,-34.43766243955,-59.0521548807986
3500,2022-05-13 16:28:15,-34.4376624416779,-59.0521548758529
3600,2022-05-13 16:28:15,-34.4376624568599,-59.0521548784453
3700,2022-05-13 16:28:15,-34.4376624705479,-59.052154880291
3800,2022-05-13 16:28:15,-34.4376624846327,-59.0521548840417
3900,2022-05-13 16:28:15,-34.4376624918187,-59.0521548708549
4000,2022-05-13 16:28:15,-34.4376625082824,-59.0521548741747
4100,2022-05-13 16:28:15,-34.4376625203727,-59.0521548788168
4200,2022-05-13 16:28:16,-34.4376625228637,-59.0521548773323
4300,2022-05-13 16:28:16,-34.4376625316389,-59.0521548840427
4400,2022-05-13 16:28:16,-34.4376625425793,-59.0521548930577
4500,2022-05-13 16:28:16,-34.4376625498798,-59.0521548988592
4600,2022-05-13 16:28:16,-34.4376625289214,-59.0521548918513
4700,2022-05-13 16:28:16,-34.4376625377463,-59.0521549025681
4800,2022-05-13 16:28:16,-34.4376625487437,-59.0521549145632
4900,2022-05-13 16:28:16,-34.4376625315877,-59.0521549052256
5000,2022-05-13 16:28:16,-34.4376625408225,-59.0521549138727
5100,2022-05-13 16:28:17,-34.437662550731,-59.0521549207058
5200,2022-05-13 16:28:17,-34.4376625610908,-59.0521549274463
5300,2022-05-13 16:28:17,-34.4376625358996,-59.0521549069851
5400,2022-05-13 16:28:17,-34.4376625433801,-59.0521549138464
5500,2022-05-13 16:28:17,-34.4376625461775,-59.0521549210421
5600,2022-05-13 16:28:17,-34.4376625251865,-59.052154917233
5700,2022-05-13 16:28:17,-34.4376625306955,-59.0521549257307
5800,2022-05-13 16:28:17,-34.4376625388187,-59.0521549339133
5900,2022-05-13 16:28:17,-34.4376625496231,-59.0521549379345
6000,2022-05-13 16:28:17,-34.4376625333778,-59.0521549214082
6100,2022-05-13 16:28:18,-34.4376625405886,-59.0521549290828
6200,2022-05-13 16:28:18,-34.4376625483685,-59.0521549352475
6300,2022-05-13 16:28:18,-34.4376625209189,-59.0521549106698
6400,2022-05-13 16:28:18,-34.4376625295495,-59.052154916004
6500,2022-05-13 16:28:18,-34.4376625442555,-59.052154924432
6600,2022-05-13 16:28:18,-34.4376625610693,-59.0521549336561
6700,2022-05-13 16:28:18,-34.4376625573465,-59.0521549193115
6800,2022-05-13 16:28:18,-34.4376625735729,-59.0521549285386
6900,2022-05-13 16:28:18,-34.4376625870893,-59.0521549371895
7000,2022-05-13 16:28:18,-34.4376625886053,-59.0521549365015
7100,2022-05-13 16:28:18,-34.4376625964292,-59.0521549480992
7200,2022-05-13 16:28:19,-34.4376626033114,-59.0521549600786
7300,2022-05-13 16:28:19,-34.437662606428,-59.052154966675
7400,2022-05-13 16:28:19,-34.4376625660787,-59.0521549472482
7500,2022-05-13 16:28:19,-34.4376625702682,-59.0521549513608
7600,2022-05-13 16:28:19,-34.4376625745027,-59.0521549526069
