time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-05-13 16:28:11,-34.4376624556441,-59.0521548140894,0,Available with any HD 360 subscription,Available with any HD 360 subscription,89.378347348296,0.656168,0,0,0,16,10,0,89.378347348296,0,0,0,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,0,78.08,89.378347348296,0,6,P-GPS,
100,2022-05-13 16:28:11,-34.4376624549303,-59.0521548142398,0,,,89.378347348296,0.656168,0,0.00026431759376,0.00026431759376,16,10,0,89.378347348296,0,0,0.00026431759376,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,0,78.08,89.378347348296,0,41,Motors_Started,
200,2022-05-13 16:28:12,-34.4376624532005,-59.0521548144991,0,,,89.378347348296,0.656168,0,0.00090003939888,0.000900262496,16,10,0,89.378347348296,0,0,0.00090003939888,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,0,78.08,89.378347348296,0,41,Motors_Started,
300,2022-05-13 16:28:12,-34.4376624557136,-59.0521548142255,0,,,89.378347348296,0.656168,0,4.8187665584E-5,0.0018208662,16,10,0,89.378347348296,0,0,0.00090003939888,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,0,78.08,89.378347348296,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 20. Setting new Maximum Flight Altitude to 120m (394 ft)"
400,2022-05-13 16:28:12,-34.4376624490296,-59.0521548136571,0,,,89.378347348296,0.656168,0,0.00241680782012,0.0042655185092,16,10,0,89.378347348296,0,0,0.00241680782012,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,0,78.08,89.378347348296,0,41,Motors_Started,
500,2022-05-13 16:28:12,-34.4376624531227,-59.052154814254,0,,,89.378347348296,0.656168,0,0.00092127955704,0.0057696524156,16,10,0,89.378347348296,0,0,0.00241680782012,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,0,78.08,89.378347348296,0,41,Motors_Started,
600,2022-05-13 16:28:12,-34.4376624571454,-59.052154815351,0,,,89.378347348296,0.656168,0,0.00066644031004,0.0072739831724,16,10,0,89.378347348296,0,0,0.00241680782012,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,0,78.08,89.378347348296,0,41,Motors_Started,
700,2022-05-13 16:28:12,-34.4376624611003,-59.0521548142845,0,,,89.378347348296,0.656168,0,0.00199155518184,0.0087521984428,16,10,0,89.378347348296,0,0,0.00241680782012,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,0,78.08,89.378347348296,0,41,Motors_Started,
800,2022-05-13 16:28:12,-34.4376624686137,-59.0521548135028,0,,,89.378347348296,0.656168,0,0.004735236372,0.0115035436752,16,10,0,89.378347348296,0,0,0.004735236372,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,0,78.08,89.378347348296,0,41,Motors_Started,
900,2022-05-13 16:28:12,-34.437662475353,-59.0521548211405,0,,,89.378347348296,0.656168,0,0.0074972771428,0.0148691933892,16,10,25.236,89.378347348296,0,0,0.0074972771428,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1000,2022-05-13 16:28:12,-34.4376624827235,-59.0521548284722,0,,,89.378347348296,0.656168,0,0.010786253626,0.0183475071488,16,10,25.236,89.378347348296,0,0,0.010786253626,0,0,0,239.2, 1.3, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1100,2022-05-13 16:28:13,-34.4376624781972,-59.0521548367044,0,,,89.378347348296,0.656168,0,0.010677821864,0.02132463979,16,10,25.236,89.378347348296,0,0,0.010786253626,0,0,0,239.2, 1.3, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1200,2022-05-13 16:28:13,-34.4376624829281,-59.0521548415796,0,,,89.378347348296,0.656168,0,0.0129429138,0.023589895768,16,10,25.236,89.378347348296,0,0,0.0129429138,0,0,0,239.2, 1.4, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.3,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1300,2022-05-13 16:28:13,-34.4376624911713,-59.0521548412794,0,,,89.378347348296,0.656168,0,0.015328248522,0.0265987869404,16,10,25.236,89.378347348296,0,0,0.015328248522,0,0,0,239.2, 1.3, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.4,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1400,2022-05-13 16:28:13,-34.437662500368,-59.0521548360382,0,,,89.378347348296,0.656168,0,0.0176034126368,0.0303063329908,16,10,25.236,89.378347348296,0,0,0.0176034126368,0,0,0,239.2, 1.3, 1,0,0,364,364,364,1684,-100,-100,-100,100,242.4,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1500,2022-05-13 16:28:13,-34.4376625038855,-59.0521548397375,0,,,89.378347348296,0.656168,0,0.0192185373604,0.0320051847512,16,10,25.236,89.378347348296,0,0,0.0192185373604,0,0,0,239.2, 1.3, 1,0,0,364,398,431,1630,-100,-95,-90,92,242.4,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1600,2022-05-13 16:28:13,-34.437662504804,-59.052154844812,0,,,89.378347348296,0.656168,0,0.0201782486772,0.033568570628,16,10,25.236,89.378347348296,0,0,0.0201782486772,0,0,0,239.2, 1.3, 1,0,0,631,814,670,1300,-60,-32,-54,42,242.4,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1700,2022-05-13 16:28:13,-34.4376625048598,-59.0521548496114,0,,,89.378347348296,0.656168,0,0.0208968838708,0.035012796396,16,10,25.236,89.378347348296,0,0,0.0208968838708,0,0,0,239.2, 1.3, 1,0,0,815,1024,904,1024,-32,0,-18,0,242.4,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1800,2022-05-13 16:28:13,-34.4376624848067,-59.052154855067,0,,,89.378347348296,0.656168,0,0.0162864506524,0.042511156216,17,10,25.236,89.378347348296,0,0,0.0208968838708,0,0,0,239.3, 1.3, 1,0,0,907,1024,1024,1024,-18,0,0,0,242.3,-1.2,0,98,,,,,,,1.236,78.08,89.378347348296,0,41,Motors_Started,
1900,2022-05-13 16:28:13,-34.4376624872113,-59.052154860559,0,,,89.378347348296,0.656168,0,0.0181155189524,0.044382219268,17,10,25.242,89.378347348296,0,0,0.0208968838708,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,5.162,78.08,89.378347348296,0,41,Motors_Started,
2000,2022-05-13 16:28:13,-34.4376624890808,-59.0521548665235,0,,,89.378347348296,0.656168,0,0.0199439967012,0.046302166836,17,10,25.242,89.378347348296,0,0,0.0208968838708,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,5.162,78.08,89.378347348296,0,41,Motors_Started,
2100,2022-05-13 16:28:14,-34.4376624818236,-59.0521548671123,0,,,89.378347348296,0.656168,0,0.0185955058444,0.048955710228,17,10,25.242,89.378347348296,0,0,0.0208968838708,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,5.162,78.08,89.378347348296,0,10,Assisted_Takeoff,
2200,2022-05-13 16:28:14,-34.4376624880575,-59.0521548698367,0,,,89.378347348296,0.656168,0,0.020524278872,0.051373361224,17,10,25.242,89.378347348296,0,0,0.0208968838708,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,5.162,78.08,89.378347348296,0,10,Assisted_Takeoff,
